                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2789,                 1.1581,                0.92672,                0.86875,                0.83333,                0.82917,                0.54224,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.3468,                 1.3672,                0.94915,                0.85122,                0.83333,                0.82917,                0.56948,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.2548,                 1.2218,                0.92056,                0.85122,                0.83333,                0.82917,                0.56948,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.2111,                 1.1333,                 0.9327,                0.88793,                0.83333,                0.82917,                0.57687,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.2004,                 1.0703,                0.92263,                0.88793,                0.83333,                0.82917,                0.57687,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.2743,                 1.3442,                0.90851,                0.87204,                0.83333,                0.82917,                 0.6143,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                  1.382,                 1.1092,                0.91854,                0.87204,                0.83333,                0.82917,                 0.6143,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.2462,                 1.1063,                0.91424,                0.87614,                0.83333,                0.82917,                0.58954,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.2542,                 1.0734,                0.91472,                0.87614,                0.83333,                0.82917,                0.58954,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.2041,                 1.0913,                0.94462,                0.85623,                0.83333,                0.82917,                0.59102,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.1736,                 1.0894,                0.90494,                0.85623,                0.83333,                0.82917,                0.59102,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.1122,                 1.0183,                0.90643,                0.86944,                0.83333,                0.82992,                0.61502,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.2112,                 1.2032,                0.95594,                0.86944,                0.83333,                0.82992,                0.61502,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                 1.1471,                 1.0571,                0.95468,                0.86932,                0.83333,                0.83116,                0.60251,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.1807,                 1.1145,                0.96611,                0.86932,                0.83333,                0.83116,                0.60251,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                  1.146,                0.96718,                0.89338,                0.87524,                0.83333,                0.83154,                0.59183,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.0079,                  1.221,                0.92808,                0.87524,                0.83333,                0.83154,                0.59183,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.1414,                 1.0432,                0.90937,                0.86575,                0.83333,                0.83285,                0.61413,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.1026,                 1.0223,                0.87941,                0.86575,                0.83333,                0.83285,                0.61413,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
